,Sentences,Sentiments
81,The measurement of material fluxes by correlating high-frequency turbulent velocity fluctuations with turbulent concentration fluctuations. Also referred to as eddy correlation i.e. micrometeorological method that uses differences in concentration associated with turbulence in the air to quantify net vertical gas exchange. Emission factor,27
82,"A coefficient that quantifies the emissions or removals of a gas per unit activity. Emission factors are often based on a sample of measurement data, averaged to develop a representative rate of emission for a given activity level under a given set of operating conditions. Emissions",27
83,The release of greenhouse gases and/or their precursors into the atmosphere over a specified area and period of time. (UNFCCC Article 1.4),27
84,Energy recovery,27
85,A form of resource recovery in which the organic fraction of waste is converted to some form of usable energy. Recovery may be achieved through the combustion of processed or raw refuse to produce steam through the pyrolysis of refuse to produce oil or gas; and through the anaerobic digestion of organic wastes to produce methane gas. Enhanced coal bed methane (recovery),27
86,Increased CH4 recovery produced by the injection of CO2 into coal seams. Epilimnetic,27
87,Pertaining to the epilimnion of a stratified water body. Epilimnion,27
88,"The uppermost region of a density-stratified reservoir. Frequently defined as the region above the strongest temperature gradient in the water column. It always includes, but is not limited to, the surface mixing layer – the isothermal region of actively turbulent water just below the air-water interface. Estimation",27
89,The process of calculating emissions and/or removals. Eutrophication,27
90,Natural or anthropogenic process of nutrient enrichment of a water body which leads to increases in algal biomass. Evaporative emissions,27
91,"Evaporative emissions fall within the class of fugitive emissions and are released from area (rather than point) sources. These are often emissions of Non-Methane Volatile Organic Compounds (NMVOCs), and are produced when the product is exposed to the air – for example in the use of paints or solvents. Excluded carbon",27
92,"Carbon in non-energy uses of fossil fuels (feed stocks, reductant and non-energy products) excluded from fuel combustion. Expert judgement",0
93,"A carefully considered, well-documented qualitative or quantitative judgement made in the absence of unequivocal observational evidence by a person or persons who have a demonstrable expertise in the given field. Feedstock",27
94,"Fossil fuels used as raw materials in chemical conversion processes to produce primarily organic chemicals and, to a lesser extent, inorganic chemicals. Glossary",27
95,G.8 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
96,First use,27
97,"Distinguishes first uses (and related emissions) from later non-energy uses of fossil fuels. For example, first-use emissions from lubricants are those which take place as a result of oxidation during use as a lubricant. Used lubricants may be used subsequently for heat raising as waste oils. Flaring",27
98,All burning of natural gas/vapour streams and hydrocarbon liquids by flares as a waste disposal option rather than for the production of useful heat or power. Floating chamber,27
99,Closed container that floats on the surface of the water used to quantify greenhouse gas emissions from the water surface. The time-dependent change in gas concentration within the floating chamber is a direct measurement of the gas flux. Flood control,27
100,The operation of a reservoir to reduce peaks in river discharge. Flow rate,27
101,"The volume of water or gas passing through an imaginary plane at an instant of time [units are length3 time-1; e.g., m3 s-1, ft3 s-1, ML d-1, Ln min-1]. Fluorocarbons",27
102,"Halocarbons containing fluorine atoms, including chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), hydrofluorocarbons (HFCs), and perfluorocarbons (PFCs). Flux",27
103,"(1) The rate of flow of any liquid or gas, across a given area; the amount of this crossing a given area in a given time. E.g., ""Flux of CO2 absorbed by forests"". (2) Raw materials, such as limestone, dolomite, lime, and silica sand, which are used to reduce the heat or other energy requirements of thermal processing of minerals (such as the smelting of metals). Fluxes also may serve a dual function as a slagging agent. Forest Land",27
104,"This category includes all land with woody vegetation consistent with thresholds used to define Forest Land in the national greenhouse gas inventory. It also includes systems with a vegetation structure that currently fall below, but in situ could potentially reach the threshold values used by a country to define the Forest Land category. Fossil carbon",27
105,Carbon derived from fossil fuel or other fossil source. Fuel,27
106,Any substance burned as a source of energy such as heat or electricity. See also Primary Fuels and Secondary Fuels. Fuel combustion,27
107,"Within the Guidelines fuel combustion is the intentional oxidation of materials within an apparatus that is designed to provide heat or mechanical work to a process, or for use away from the apparatus. Fuel wood",27
108,Wood used directly as fuel. Fugitive Emissions (oil and natural gas systems),27
109,"The intentional or unintentional release of greenhouse gases that occur during the exploration, processing and delivery of fossil fuels to the point of final use. This excludes greenhouse gas emissions from fuel combustion for the production of useful heat or power. It encompasses venting, flaring, and leaks. Funnel trap",27
110,A device deployed underwater to capture bubbles. G.9,27
111,Global warming potential,27
112,"Global Warming Potentials (GWP) are calculated as the ratio of the radiative forcing of one kilogramme greenhouse gas emitted to the atmosphere to that from one kilogramme CO2 over a period of time (e.g., 100 years). Good Practice",0
113,"""Good practice"" is a key concept for inventory compilers to follow in preparing national greenhouse gas inventories. The key concept does not change in the 2019 Refinement. The term ""good practice"" has been defined, since 2000 when this concept was introduced2, as ""a set of procedures intended to ensure that greenhouse gas inventories are accurate in the sense that they are systematically neither over- nor underestimates so far as can be judged, and that uncertainties are reduced so far as practicable"". This definition has gained general acceptance amongst countries as the basis for inventory development and its centrality has been retained for the 2019 Refinement. Certain terms in the definition have been updated based on feedback from the statistics community, such that this definition can be also understood as ""a set of procedures intended to ensure that greenhouse gas inventories are accurate in the sense that they are systematically neither over- nor underestimates so far as can be judged, and that they are precise so far as practicable"" in the context of refinement of Chapter 3 of Volume 13. Good Practice covers choice of estimation methods appropriate to national circumstances, quality assurance and quality control at the national level, quantification of uncertainties and data archiving and reporting to promote transparency. Ground truth",4
114,"A term used for data obtained by measurements on the ground, usually as validation for remote sensing, e.g., satellite data. Harvested wood products",27
115,"Harvested wood products (HWP) according to the Good Practice Guidance for Land Use, Land-Use Change and Forestry (2003) and the 2006 IPCC Guidelines refer to wood and paper products, and include i) wood products in use (i.e. wood utilised as a material); ii) wood biomass used for energy purposes and iii) wood biomass in solid waste disposal sites. Hydrocarbon",27
116,"Strictly defined as molecules containing only hydrogen and carbon. The term is often used more broadly to include any molecules in petroleum which may also contain S, N, or O. An unsaturated hydrocarbon is any hydrocarbon containing olefinic, acetylenic, or aromatic structures. Hydrochlorofluorocarbons (HCFCs)",27
117,"Halocarbons containing only hydrogen, chlorine, fluorine and carbon atoms. Because HCFCs contain chlorine, they contribute to ozone depletion. They are also greenhouse gases. Hydrofluorocarbons (HFCs)",27
118,"Halocarbons containing only hydrogen, fluorine and carbon atoms. Because HFCs contain no chlorine, bromine, or iodine, they do not deplete the ozone layer. Like other halocarbons, they are potent greenhouse gases. Hydrofluoroethers (HFEs)",27
119,"Chemicals composed of hydrogen, fluorine and carbon atoms, with ether structure. Because HFEs contain no chlorine, bromine, or iodine, they do not deplete the ozone layer. Like other halocarbons, they are potent greenhouse gases. Hypolimnetic",27
120,"Pertaining to the hypolimnion. 2 The definition was originally introduced with the Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories published in 2000. 3 In the 2006 IPCC Guidelines, the term “uncertainty” was used with two meanings – a general one which is associated with both accuracy and precision, and a specific one only as the inverse of precision. This definition text of “good practice” which uses the term “precise” instead of “uncertainties” overcomes inconsistencies with general IPCC definition for uncertainty, without changing the original concept of “good practice”. Glossary",27
121,G.10 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
122,Hypolimnion,27
123,"The region of colder water at the bottom of a thermally stratified water body. It lies below the metalimnion (or thermocline) – the region with the strongest temperature gradient – and it may contain a weak temperature gradient. In many reservoirs, the hypolimnion can be anoxic (no oxygen) for many months each year because vertical transport of dissolved gases from above occurs mainly by slow diffusive processes across the metalimnion. This can lead to the accumulation of large concentrations of dissolved CH4 released from the bottom sediments. Hypoxia",27
124,Waterbodies where dissolved oxygen has become undersaturated due to natural and/or anthropogenic processes which have led to aerobic biological oxygen consumption rates greater than the rate of re-oxygenation. Hypoxic,27
125,Depletion of dissolved oxygen in aquatic environments to levels that are detrimental or fatal to aerobic organisms often caused by eutrophication. Independence,27
126,"Two random variables are independent if there is a complete absence of association between how their sample values vary. The most commonly used measure of the lack of independence between two random variables is the correlation coefficient. Inflow, in the context of water bodies",27
127,"The water that enters a water body (e.g. pond, lake, reservoir). In addition to surface flows (streams, rivers), inflow may also include precipitation and groundwater inputs. Irrigation channel",27
128,An open channel that transports water in order to irrigate agricultural land. Key category,27
129,"A key category is one that is prioritised within the national inventory system because its estimate has a significant influence on a country's total inventory of greenhouse gases in terms of the absolute level of emissions and removals, the trend in emissions and removals, or uncertainty in emissions or removals. Whenever the term key category is used, it includes both source and sink categories. Key source",27
130,See key category. Kilns,27
131,"A tubular heating apparatus used in the manufacture of cement, lime and other materials. The calcination reaction may take place in the kiln itself, or, where so-equipped, it may partly or completely take place in a preheater and/or precalciner apparatus ahead of the kiln. Land cover",27
132,"Refers to the bio-physical coverage of land (e.g., bare soil, rocks, forests, buildings and roads or lakes). Land use",27
133,"A broad classification of land based on the activities and cover, and in this report refers specifically to six general types including Forest Land, Cropland, Grassland, Wetlands, Settlements and Other Land. Note that a specific parcel of land may have more than one land use, but it is generally the predominant land use that forms the basis for the classification. The land-uses may be considered as top-level categories for representing all land-use areas, with sub-divisions describing specific circumstances significant to emissions estimation. Landfill gas",27
134,"Municipal solid waste contains significant portions of organic materials that produce a variety of gaseous products when deposited, compacted, and covered in landfills. Anaerobic bacteria thrive in the oxygen-free environment, resulting in the decomposition of the organic materials and the production of primarily carbon dioxide and methane. Carbon dioxide is likely to leach out of the landfill because it is soluble in water. Methane, on the other hand, which is less soluble in water and lighter than air, is likely to migrate directly to the atmosphere. G.11",27
135,Large dams,27
136,"A dam with a height of 15 metres or greater from lowest foundation to crest or a dam between 5 metres and 15 metres impounding more than 3 million cubic metres. (See International Commission On Large Dams Constitution, Page 3)",27
137,LTO (landing and take-off) cycle,27
138,"All aircraft activities that occur under 914 metres (3 000 feet) including idling aircraft engines, taxi-out, take-off, climb up to 914 metres, descend, approach and taxi-in. Note: some gatherers of statistics count either single take-off or landing as one cycle; however, it is both one take-off and one landing that together define the LTO cycle. Lubricants",27
139,"Lubricants are hydrocarbons produced from distillate or residue, and they are mainly used to reduce friction between bearing surfaces. This category includes all finished grades of lubricating oil, from spindle oil to cylinder oil, and those used in greases, including motor oils and all grades of lubricating oil base stocks. Managed land",27
140,"Land where human interventions and practices have been applied to perform production, ecological or social functions. All land definitions and classifications should be specified at the national level, described in a transparent manner, and be applied consistently over time. Therefore, what is not defined as ‘managed land’ by a country should be classified as unmanaged. Managed Land Proxy (MLP)",27
141,"For the AFOLU Sector, anthropogenic greenhouse gas emissions and removals by sinks are defined as all those occurring on ‘managed land’. This approach, i.e., the use of managed land as a proxy for anthropogenic effects, was adopted in the Good Practice Guidance for Land Use, Land-Use Change and Forestry (2003) and that use is maintained in the 2019 Refinement. Manure",27
142,"Waste materials produced by domestic livestock (vegetative material such as green manures are considered to be crop residues or compost). The term ‘manure’ is used here collectively to include both dung and urine (i.e., the solids and the liquids) produced by livestock. Mean",27
143,The mean is a value around which values sampled from a probability distribution tend to lie. The sample mean or arithmetic average is an estimator for the mean. It is an unbiased and consistent estimator of the population mean (expected value) and is itself a random variable with its own variance value. The sample mean is the sum of values divided by the number of values:,27
144,"Σ=niixnx1 (xi, where i = 1,…., n are items of a sample). Measurement-based approach",27
145,The use of direct measurements to compute GHG fluxes from a system. Median,27
146,"The median or population median is a value which divides the integral of a probability density function (PDF) into two halves. For symmetric PDFs, it equals the mean. The median is the 50th population percentile. The sample median is an estimator of the population median. It is the value that divides an ordered sample into two equal halves. If there are 2n + 1 observations, the median is taken as the (n + 1)th member of the ordered sample. If there are 2n, it is taken as being halfway between the nth and (n + 1)th. Methanogenic production",27
147,Production of methane by microorganisms (methanogenic bacteria) during the decomposition of organic matter. Glossary,27
148,G.12 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
149,Mode,27
150,"The mode of a distribution is the value which has the highest probability of occurrence. Distributions can have one or more modes. In practice, distributions with only one mode are usually encountered. In this case, the mode or population mode of a PDF is the measure of a value around which values sampled from a probability distribution tend to lie. The sample mode is an estimator for the population mode calculated by subdividing the sample range into equal subclasses, counting how many observations fall into each class and selecting the centre point of the class (or classes) with the greatest number of observations. Model",27
151,A model is a quantitatively-based or qualitatively-based abstraction of a real-world situation which may simplify or neglect certain features to better focus on its more important elements. Example: the relationship that emissions equal an emission factor times an activity level is a simple model. The term ‘model’ is also often used in the sense of a computer software realisation of a model abstraction. Model-based approach,27
152,"The application of (typically) statistical or process-based models that employ indirect measurements to infer GHG fluxes from a system of interest. For example, a model-based estimate of a pollutant flux could be computed as the product of an assumed concentration and a measured flow rate, whereas the corresponding measurement-based estimate would use a measured concentration and a measured flow rate. Monte Carlo method",27
153,"In these Guidelines a Monte Carlo method is recommended to analyse the uncertainty of the inventory. The principle of Monte Carlo analysis is to perform the inventory calculation many times by computer, each time with the uncertain emission factors or model parameters and activity data chosen randomly (by the computer) within the distribution on uncertainties specified initially by the user. Uncertainties in emission factors and/or activity data are often large and may not have normal distributions. In this case the conventional statistical rules for combining uncertainties become very approximate. Monte Carlo analysis can deal with this situation by generating an uncertainty distribution for the inventory estimate that is consistent with the input uncertainty distributions on the emission factors, model parameters and activity data. Non-energy products",27
154,"Primary or secondary fossil fuels which are used directly for their physical or diluent properties. Examples are: lubricants, paraffin waxes, bitumen, and white spirits and mineral turpentine (as solvent). Non-energy use",27
155,"Within the Guidelines this term refers to the use of fossil fuels as Feedstock, Reductant or Non-energy products. However, the use of this term differs between countries and sources of energy statistics. In most energy statistics, e.g., of the International Energy Agency (IEA), fuel inputs of reductants to blast furnaces are not included but accounted for as inputs to a fuel conversion activity transforming coke and other inputs to blast furnace gas. Non-marketed lime production",27
156,"Lime production occurring at facilities where the primary purpose is the production of lime as an intermediate input: such as plants that produce steel, synthetic soda ash, calcium carbide, magnesia and magnesium metal, as well as copper smelter and sugar mills. The lime produced by these facilities is often used on site and thus is often not reported in national statistics. Also referred to as in-house lime production. Non-Methane Volatile Organic Compounds (NMVOCs)",27
157,"A class of emissions which includes a wide range of specific organic chemical substances. Non-Methane Volatile Organic Compounds (NMVOCs) play a major role in the formation of ozone in the troposphere (lower atmosphere). Ozone in the troposphere is a greenhouse gas. It is also a major local and regional air pollutant, causing significant health and environmental damage. Because they contribute to ozone formation, NMVOCs are considered ""precursor"" greenhouse gases. NMVOCs, once oxidized in the atmosphere, produce carbon dioxide. G.13",27
158,Normal distribution,27
159,"The normal (or Gaussian) distribution has the probability density function (PDF) given in the following equation and is defined by two parameters (the mean μ and the standard σ deviation). ∞≤≤∞=−−xexfx-for ,21)(222) (σμπσ. Nutrient loading",27
160,"An increase in levels of nitrogen, phosphorus, and sulphur entering aquatic systems as a result of human activity occurring in the catchment. Observational data",27
161,Observational data is empirical data from instrumental (usually monitoring equipment) or manual methods (through counts in a survey or census). Off-gas,27
162,"The exhaust gas from a chemical process (combustion or non-combustion). The off gas may be vented to the atmosphere, burned for energy recovery or flared (without energy recovery), or used as a feedstock for another chemical process. Secondary products may also be recovered from the off gas. Open burning of waste",27
163,"The combustion of unwanted combustible materials such as paper, wood, plastics, textiles, rubber, and other debris in the open or at an open dump site, where smoke and other emissions are released directly into the air without passing through a chimney or stack. Open burning can also include incineration devices that do not control the combustion air to maintain an adequate temperature and do not provide sufficient residence time for complete combustion. Outflow, in the context of reservoirs",27
164,Water discharged from a dam. Outflow area,27
165,The area where water is discharged immediate downstream of a dam. It is characterised by exceptionally high levels of turbulence in the water (see degassing emissions) that directly result from the operation of the dam. Oxic,27
166,Containing dissolved oxygen. Oxidation,27
167,Chemically transform of a substance by combining it with oxygen. Oxycline,27
168,The region of high dissolved oxygen concentration change within the water column that separates oxic and anoxic regions. Ozone-depleting substances (ODS),27
169,"A compound that contributes to stratospheric ozone depletion. Ozone-depleting substances (ODS) include CFCs, HCFCs, halons, methyl bromide, carbon tetrachloride, and methyl chloroform. ODS are generally very stable in the troposphere and only degrade under intense ultraviolet light in the stratosphere. When they break down, they release chlorine or bromine atoms, which then deplete ozone. Pasture",27
170,Area covered with grass or other plants used or suitable for the grazing of livestock; grassland. PDF,27
171,See Probability density function. Peat,27
172,"Soft, porous or compressed, sedimentary deposit of plant origin with high water content in the natural state (up to about 90 percent). Countries may define peat according to their national circumstances. Glossary",27
173,G.14 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
174,Peatland,27
