,Sentences,Sentiments
76,slowed by warming sent 70-90 mph winds for days across a tinderbox of vegetation,27
77,"and soil similarly dried out by new heat extremes. For the first time ever, the state’s",27
78,largest utility shut down large swaths of its power grid for days at a time until the,27
79,"winds subsided to reduce fire risk, stranding millions without basic energy. While the",27
80,"shutdown was the result of a multitude of factors, it is emblematic of just how poorly",9
81,designed and managed the infrastructure of the 20th century is for the climate of the,27
82,,27
83,,27
84,$95,27
85,21st. The estimates of future investment simultaneously demonstrate the enormous,27
86,TRILLION             opportunity for change and the downside risk of failing to change: according to,27
87,"An estimated $95       one estimate, more than 75% of the infrastructure to be built by 2050 does not yet",27
88,"trillion is expected to   exist today, with the large majority (60-70%) expected in developing economies. be invested in energy,    An estimated $95 trillion is expected to be invested in energy, transport, water, and",27
89,"transport, water, and     telecommunications by 2030 alone to sustain economic growth and meet demand for",27
90,"telecommunications       basic services. If these investments happen, they would essentially double the total",27
91,by 2030 alone to       infrastructure on earth from that of 2012.,27
92,sustain economic,27
93,"growth and meet        Recognizing the need for a new approach, institutions central to infrastructure finance",27
94,"demand for basic       and development have begun to work toward a shift to low-carbon, climate-resilient,",27
95,services. “sustainable” investment. Driven in part to meet larger goals of the international,27
96,agreements and national commitments—the Paris Agreement Nationally Determined,27
97,"Contributions (NDCs), Convention on Biodiversity (CBD) Post-2020 Framework,",27
98,"the UN Sustainable Development Goals (SDGs), and the New York Declaration on",27
99,Forests (NYDF)—the paradigm shift has clear momentum. Influential institutions,27
100,across sectors—from multilateral development banks to private sector developers and,27
101,non-profits—have diagnosed the many challenges and necessary changes across the,27
102,infrastructure development cycle to reorient current and future investments toward,27
103,"these goals. So far, however, this push toward sustainable infrastructure has largely",27
104,been driven by—and largely understood in terms of—low-carbon investments and,27
105,"continuing reduction of social and environmental impacts. While essential to avoid the long-term worst-case scenarios of climate change, this",27
106,focus on low-carbon options and social and environmental frameworks to reduce,27
107,negative impacts has left some critical gaps that risk compromising equally important,27
108,needs to maintain and build resilience to the impacts of an already warming planet. This does not mean that positive progress is not underway: examples of efforts to,27
109,plan at the appropriate scale around nature and the benefits it provides for people,27
110,,27
111,,27
112,,27
113,2                                                                                                                         3,27
114,EXECUTIVE SUMMARY,0
115,,27
116,,27
117,"and economies, and to plan for the physical risks to large-scale investments of an              rural communities with few options for costly engineered adaptation. Nature-based",27
118,"increasingly erratic climate, do exist. Thousands of projects have been built following         solutions are, however, largely considered too late in the project planning cycle to most",27
119,"best-in-class social and environmental safeguards, for example. But these were largely          effectively balance trade-offs in managing social, ecological, and infrastructure systems",27
120,developed following a social and environmental safeguards framework designed to                 resilience. Deeper understanding of the benefits of intact ecosystems—natural capital—,27
121,"reduce impacts on people and the natural world, rather than to explicitly maximize              must be a part of land use planning processes that precede the inception of sector-",27
122,"integrated, mutually enforcing social and environmental systems in a future of                  specific master plans and infrastructure projects. Key decision makers in ministries",27
123,"increasing climate change. of economy, finance, planning, transport, and construction, and regional and local",27
124,"governments, need to be able to make development planning and investing decisions",27
125,"More explicit consideration of natural capital, intact biodiversity habitat, ecosystem          based on more holistic evaluations of",27
126,"services, and the numerous benefits they provide—increasingly referred to as nature-",27
127,"based solutions—to surrounding communities and economies, especially in conveying                 1)",27
128,the totality of services provided by ecosystems and the reliance upon,27
129,"resilience, is needed. Forests that stabilize hillsides, slow water flows, or filter                  them by surrounding or downstream populations and economies,",27
130,"sediments under intense rainfall, and wetlands that absorb and diffuse flood waters,              2)",27
131,current and future infrastructure needs based on these dependencies,27
132,"are just some examples of the many “resilience services” that must be better integrated               and other critical trends like population growth, migration, and projected",27
133,"throughout the infrastructure development cycle. As is increasingly evident, these                    economic development, and",27
134,"systems provide the most benefits at larger scales; while still useful in many cases—e.g.,",4
135,3),27
136,current impacts and likely future risks to 1 and 2 from continued,27
137,"urban environments, or as parts of hybrid “green infrastructure” approaches—isolated",27
138,warming and the necessary pathways and planning steps to facilitate adaptation,27
139,"patches do not provide the same value as large, well-managed ecosystems. This is one",10
140,"and resilience-building. of many reasons why it is most essential they are planned for at the “upstream,” pre-",27
141,"feasibility stages of strategic spatial or regional land use planning, well before any single   A process of assessing such dependencies and climate change impacts under varying",27
142,"infrastructure project is proposed, designed, and financed (Figure 1). scenarios—e.g., through detailing possible development trajectories under alternative",27
143,climate change scenarios—has become an increasingly essential step in planning within,27
144,Nature-based solutions are increasingly seen as either essential complements to “grey”,27
145,various sectors given the uncertainties posed by climate change. Achieved through,27
146,"engineered approaches or cheaper, more robust alternatives. They are also recognized",27
147,long-standing and increasingly proven methods like decision-making under deep,27
148,"as important to the world’s most vulnerable populations, especially in marginalized",4
149,"uncertainty, scenario planning, and back-casting, these approaches are critical tools",27
150,"to facilitate planning for robustness, where plans prioritize options equally likely to",27
151,function under multiple possible future scenarios of additional warming and resulting,27
152,"Figure 1. An improved planning process, where consideration of natural capital and ecosystem services (including           impacts. These approaches have, however, rarely holistically included potential changes",27
153,"biodiversity), climate change impacts and risks, and infrastructure needs to support development are analyzed in advance   to landscape scale ecosystems and resulting cross-sectoral impacts, or the benefits",27
154,"of any individual infrastructure project development cycle. ecosystems provide as part of strategic or regional infrastructure planning processes. This report seeks to at least partially fill this gap, proposing a revised regional-",27
155,"PRE-PLANNING                        INFRASTRUCTURE DEVELOPMENT CYCLE: MULTIPLE PROJECTS                          and landscape-scale planning framework, Visioning Futures, based on integrated,",27
156,participatory assessments of ecosystem services and their values and current and,27
157,future infrastructure needs under alternative climate scenarios. The goal is to fill these,27
158,essential information gaps to support improved land use planning and decision-making,27
159,Goal #3       Concept       Design       Funding      Approvals   Construction,27
160,"in the “Avoid” stage of mitigation hierarchy, where critical ecosystems, habitats, and",27
161,Climate,27
162,"Risks                                                                                                              their services are identified, all to ultimately reduce risks for greater private sector",27
163,"investment and provide essential, necessary services that support poverty reduction",4
164,"Goal #2       Concept       Design       Funding      Approvals   Construction     and sustainable, resilient development. Development",27
165,Needs,27
166,,27
167,,27
168,Ecosystem,27
169,Services                         Goal #1       Concept       Design       Funding      Approvals   Construction,27
170,,27
171,,27
172,,27
173,,27
174,4                                                                                                                                                                                                                   5,27
175,EXECUTIVE SUMMARY,0
176,,27
177,,27
178,Opportunities                                                                                   investments in natural capital and ecosystem services in developing economies,27
179,"through technical support for more ambitious and integrated (adaptation,",27
180,"To increase adoption of a more integrated approach, influential institutions operating          mitigation, biodiversity, SDGs) NDCs and other national commitments under",27
181,"internationally with power over infrastructure finance, regional development planning,          global agreements. conservation, and climate change adaptation and mitigation finance should seize",27
182,the following opportunities to push for progress toward more integrated planning,27
183,DOMESTIC ACTION,27
184,"approaches. Relevant institutions include global environmental NGOs, bilateral aid",27
185,"agencies and other major funders including multilateral development banks (MDBs), and     These same relevant institutions operating in international fora should similarly seize",27
186,international intergovernmental organizations and country fora like the G7 and G20. directly related opportunities in-country to ground the shifts in policy and finance,27
187,"to affect actual landscapes, watersheds, regional plans, and ultimate infrastructure",27
188,"INTERNATIONAL POLICY, FINANCE, AND SCIENCE                                                investments:",27
189,,27
190,1),27
191,"Develop explicit funding programs designed to support holistic, cross-                8)",27
192,"Collaborate with relevant ministries and departments (planning,",27
193,"sectoral landscape or regional scale planning efforts in collaboration with               finance, public works, environment) to access global funds to support",27
194,"existing international funding mechanisms like the Green Climate Fund (GCF),              integrated planning approaches in landscapes with urgent infrastructure",27
195,"Global Environment Facility (GEF), and other major funders like the MDBs                  needs to create the de-risking conditions necessary to crowd in private sector",27
196,to support technical assessments and simultaneous capacity-building around                developer investment. Develop model case studies to replicate and scale,27
197,"a Visioning Futures or similar approach in-country to help de-risk potential              nationwide, and contribute additional “business cases” that demonstrate the",27
198,"investments, and thus to attract the private sector and explicitly meet country           benefits of a Visioning Futures-like approach. commitments under NDCs, CBD, and SDGs. 9)",27
199,Expand and develop national regulatory frameworks enshrining,27
200,2),27
201,"Develop integrated regional or landscape scale planning standards                         holistic consideration of natural capital, ecosystem services, and climate risks in",27
202,"through cross-sector collaboration with landscape, city, and infrastructure               national policies, laws, and regulations governing spatial or strategic planning",27
203,"planners; design firms; and major funders for a Visioning Futures approach or             process, including procurement requirements, whether driven by large-scale",27
204,"similar that explicitly considers ecosystem services and climate risks, connects          infrastructure investments or otherwise. to project level sustainability and resilience standards, and meets national NDC",27
205,10),27
206,"Create and expand existing financial, technological, and human",27
207,"objectives, CBD post-2020 Framework, and SDGs. resource investments in cross-sectoral, inter-ministry, and academic natural",27
208,3),27
209,Expand existing and develop new open data access platforms to                             capital programs that support modeling teams to provide regular technical support,27
210,"improve transparency and accessibility to increase stakeholder knowledge                  for regional planning efforts, including explicit partnership with relevant climate",27
211,"and ownership in regional planning and infrastructure development processes,              risk assessment departments and agencies; and train the next generation of political",27
212,and to facilitate necessary technical assessments that inform planning. leaders to improve national planning and decision-making using such information. 4),27
213,Update existing project screening and other “checklist” tools commonly                11),27
214,Institutionalize cross-sectoral collaboration and integration in,27
215,used by multilateral development banks and other funders when reviewing                    planning processes via designated official bodies like an inter-agency/,27
216,"infrastructure projects (e.g., the Sustainable Infrastructure Foundation’s                 ministerial working group or commission with direct oversight and decision-",27
217,SOURCE planning tool adopted by the major MDBs44) to explicitly include or                 making power in regional and sub-national planning efforts for large-scale,27
218,"require integrated, forward-looking assessments of ecosystem services, climate             infrastructure. Participation should include leaders and support staff in planning,",27
219,"risks, and infrastructure needs. finance, economic development, environment, public works, and other essential",27
220,5),27
221,"Create new procurement criteria for large-scale infrastructure                             ministries. funding through collaboration with major funders—e.g., MDBs—and private               12)",27
222,Expand existing programs and establish accredited integrated,27
223,"sector developers, that require direct integration with existing regional,                regional planning degrees in national universities, integrating curricula",27
224,"landscape, or watershed plans that have been developed based on integrated                across schools of engineering, ecology, earth science, and economics around",27
225,"assessments that explicitly account for ecosystem services and climate risks. ecosystem services, natural capital, climate risk assessment and scenario",27
226,6),27
227,"Increase investment in ecosystem service modeling science to                              planning, back-casting, decision-scaling, and other scenario planning approaches",27
228,"improve existing geospatial tools to allow greater flexibility, ease of use, and          to train the technical experts necessary to manage and implement cross-sectoral",27
229,"standardization, through collaboration with developers, funders, and academia,            planning processes. to improve accounting of climate change dynamics and risks explicitly tailored to     13)",27
230,Increase ambition in NDCs through holistic mitigation and adaptation,27
231,"regional development planning and infrastructure pre-planning contexts. goals and programs, achieved through the use of Visioning Futures or similar",27
232,7),27
233,Use existing climate and development policy support and                                   planning frameworks that can improve planning for both nature-based solutions,27
234,"coordination initiatives (for example, the NDC Partnership, among others) to              and decarbonization in major infrastructure sectors like transportation, energy,",27
235,"incentivize improved, holistic upstream infrastructure planning approaches and            and water supply, among others. 6                                                                                                                                                                                                          7",27
236,PART 1: DEFINING THE CHALLENGE,27
237,"Seemingly every day, new climate extremes emerge that challenge the fundamental",27
238,"ability of our existing infrastructure to meet the basic food, water, and energy needs of",27
239,millions around the world. There is perhaps no better recent example than yet another,27
240,"destructive fire season in California, where a stalled high-pressure system from a",27
241,lethargic jet stream slowed by warming sent 70-80 mph (112-130 kph) winds for days,27
242,"across a tinderbox of vegetation and soil similarly dried out by new heat extremes. For the first time ever, the state’s largest utility shut down its power grid for hundreds",27
243,of thousands of customers for days at a time until the winds subsided to reduce fire,27
244,"risk, stranding millions without electricity in the state driving global technological",27
245,"innovation. While the result of multiple factors, including decades of deferred",0
246,"maintenance, mismanagement, and incentives for people to live in fire prone areas,",27
247,this shutdown is emblematic of just how poorly the infrastructure of the 20th century is,9
248,"adapted to the climate of the 21st. First                   Faced with these now regularly recurring extremes, ambition and global agreement to",27
249,tackle the dual challenges of climate change—reducing greenhouse gas emissions and,27
250,EVER             building resilience to the increasingly damaging impacts and future risks of a changing,27
251,California’s largest   climate—are increasing. While there was some progress by signatories to the Paris,27
252,utility shut down    Agreement to ratchet up ambition on both mitigation and adaptation at the Convention,27
253,large swaths of its   of the Parties to the UN Framework Convention on Climate Change (UNFCCC) in,27
254,"power grid for days     Katowice, Poland (COP 24), the subsequent UN Climate Action Summit in New York",27
255,at a time until the   and COP 25 in Madrid demonstrated a continuing enormous gap between the level,27
256,winds subsided to      of ambition necessary and current country commitments. A series of recent UN and,27
257,"reduce fire risk,",5
258,Intergovernmental Panel on Climate Change (IPCC) reports have rung alarm bells about,27
259,stranding millions,27
260,"just how essential increased action is, showing nearly every biome and its biodiversity in",4
261,in the state driving,27
262,"varying stages of crisis, from the oceans and cryosphere to essentially all life on land.1,2",27
263,global technological,27
264,innovation without      Although the growing climate crisis has inspired global action—however insufficient—,27
265,"electricity. for decades, the similar crisis of decreasing biodiversity in nearly every habitat on",9
266,the planet has not yet motivated global efforts to stem biodiversity declines on a,10
267,"comparable global scale. There are signs momentum is shifting toward progress, with a",4
268,global push by many governments and NGOS for a “global deal on nature.”3 The SDGs,27
269,attempt to address both trends while simultaneously bringing hundreds of millions out,27
270,"of poverty, but pose enormous challenges to governments that have historically failed to",27
271,balance environmental and economic development trade-offs. Perhaps no single issue better demonstrates the challenge of effectively managing these,27
272,various trade-offs toward more sustainable and climate resilient development than,27
273,infrastructure. Planning for the infrastructure of the 21st century creates perhaps the,27
274,"single most important opportunity to integrate these various global agreements, country",27
275,"commitments, and fundamental science-based needs to maintain biodiversity, reduce",27
276,"emissions, build resilience, and bring millions around the world out of poverty. As yet",27
277,more calamities driven by a warming planet demonstrate—from the California and,27
278,Amazon fires to more cyclones and hurricanes that are the most damaging in a given,27
279,nation’s history—the need to balance these trade-offs is becoming pressingly urgent. 8                                                                                                                          9,27
280,PART 1: DEFINING THE CHALLENGE,27
281,,27
282,,27
283,The Problem                                                                                 These same trends have begun to compromise the capital investments of the past,27
284,"100 years, feeding back to disrupt the actual services they were built to provide. The global statistics are staggering: according to one estimate, more than 75% of the       Infrastructure and asset damages from climate change and extreme weather topped",27
285,"infrastructure to be built by 2050 does not yet exist today, with the large majority (60-   $300 billion globally in 2016.11 Subsequent years haven’t been as economically costly as",27
286,"70%) expected in developing economies.4 An estimated $95 trillion is expected to be         the highly destructive hurricane season of 2016 in the U.S., which was responsible for",27
287,"invested in energy, transport, water, and telecommunications by 2030 alone to sustain       most of these losses (partly due to the high value of the damaged assets in urban areas). economic growth and meet demand for basic services, representing annual spending            Losses have nonetheless continued into 2019 around the globe, with the most damaging",9
288,"of $6.3 trillion, a 43% increase over 2016 spending.5 If met, this goal would essentially   fire season in U.S. history in 2018 and enormous increases in fires across Brazil, Bolivia,",27
289,"double the total infrastructure on earth as of 2012,4 On a planet already enveloped by      and Paraguay in August and Australia in December 2019; devastating flooding on a",27
290,"21 million km of roads (13 million miles), 25 million km more paved roads are needed        global scale; and cyclones in the tropics and east Africa—including two of the strongest",27
291,"by 2050 to meet basic demand, enough to wrap entirely around the earth 600 times,           cyclones to hit Mozambique in its history, back to back in a six-week period in March",27
292,"representing a 60% increase in total rail and roadways on earth as of 2010.6                2019—among numerous other examples. In many cases, the climate system feedback",27
293,"is much more direct, especially in large tropical forests, where deforestation can lead",4
294,Much of this development will be in developing economies rightly trying to pull,27
295,,27
296,,27
297,95%,27
298,"to very immediate changes in weather and climate. Scientists have discovered, for",27
299,millions of their citizens out of poverty to a quality of life middle classes in the,27
300,"example, the importance of “atmospheric rivers” created through evapotranspiration",27
301,"developed world have been enjoying for decades. It is also clear, however, that the",17
302,in the Amazon that then drive rainfall patterns in neighboring watersheds or in urban,27
303,development approach of the 19th and 20th centuries—where vast swaths of intact,27
304,FOREST LOSS                 natural habitat and the highly valuable ecosystem services provided by them were,27
305,areas like Rio De Janeiro and the cities of neighboring countries.12 Deforestation thus,27
306,"not only contributes to global warming, but directly causes local changes in climate. 95% of forest loss             sacrificed for economic growth and development, thus creating the emissions driving",27
307,"in the Amazon, for              climate change—cannot be the model of the 21st. The data make this starkly clear: 60%       New flooding extremes are challenging infrastructure service delivery, due to designs",27
308,"example, occurs               of vertebrate biodiversity has been lost since 1970, more than a million species are at     and subsequent operations manuals that were created for a climate that no longer",27
309,"within 5km of a road. risk of extinction, and 40% of the world’s forests have been cut down since the start       exists. Flood zone maps in the United States produced by the Army Corps of Engineers",27
310,"of the Industrial Revolution.1,7 According to the IPCC’s latest report on climate change    and used to determine insurance payouts—and thus incentives to build in vulnerable",27
311,"and land, human use of natural resources now directly affects 70% of all land surface,      areas—are largely based on historical data and thus nearly useless in an increasingly",27
312,"excluding the cryosphere, which is indirectly and rapidly experiencing the effects of       variable climate.13,14 A dam in Oroville, California, relying on operations manuals dated",27
313,"warming.8                                                                                   to the 1970s to manage for unusually high rainfall, was forced to release excess water",27
314,at such a rapid rate over the spillway that it threatened the integrity of the entire dam,14
315,This development and the resulting impacts have contributed substantially to,27
316,and thousands of people downstream. This is just one example among many of the,27
317,"global greenhouse gas emissions: according to analysis of 2017 forest loss data,",27
318,challenges of a non-stationary climate.15,27
319,"deforestation in the tropics contributed 8% of total global carbon emissions, enough",27
320,"to make it the third highest emitter if it were a country, behind the U.S. and China. Already significant declines in biodiversity are compounded by a climate changing too",9
321,"While infrastructure is a relatively minor cause compared with the largest drivers of       fast for many species to realistically adapt, leading to further declines, extinctions, and",27
322,"deforestation (agriculture commodities and small-holder slash and burn still contribute     extirpations.1 These numbers are also likely conservative, especially given current global",27
323,"the lion’s share of loss), it is nonetheless an important cause of deforestation in         emissions trajectories that track to some of the worst-case emissions scenarios—not",27
324,"the developing world, especially in the loss of intact primary forests,9 and likely an      including the pledges of the Paris Agreement, which would only limit warming to more",27
325,"underestimate given how central roads are in driving deforestation for other sectors,       than twice the already destructive goal of 1.5 degrees—that would result in catastrophic",27
326,"including agriculture expansion. Ninety-five percent of forest loss in the Amazon, for      warming and massive ecosystem loss, uninhabitable swaths of the planet, hundreds of",27
327,"example, occurs within 5 km of a road.10                                                    millions of refugees, and many similarly apocalyptic impacts of unabated warming.16–18",27
328,,27
329,"In part due to incremental impacts occurring over years and decades, such                   One of the most important drivers of these trends is an insufficiently holistic",27
330,developments rarely consider their cumulative environmental impacts over sufficiently       understanding of investment risk and costs and benefits. In developing economies,27
331,"large spatial and long-term temporal scales unless they’re considered in spatial and        around the world, planners and engineers are still proposing perceived least-cost,",27
332,"strategic planning processes, which still often fail due to weak enforcement and            shortest-path designs (in the case of linear infrastructure like roads, rail, pipelines,",27
333,"oversight capacity. This is in part due to the gradual nature of the impact: the recent     and transmission lines), which are often routed directly through protected areas and",27
334,"Amazon fires, for example, mostly occurred on farmland, but many were to clear forests      other important habitats like wildlife migration corridors, or ecosystems that provide",27
335,for expanding crop area and grazing (partly due to new incentives and lax oversight         important but regularly undervalued benefits.19–22 As a recent study of infrastructure,27
336,"from changes in federal policy). Any one fire on one farm isn’t impactful: it’s the         financed in Latin America over the past 40 years demonstrates, projects often turn out",27
337,"gradual impact over subsequent years and decades, clearing marginally more forest           to be far riskier and more costly than initially planned for or analyzed in feasibility and",27
338,"every year, that ultimately leads to wide swaths of loss over the long run. cost assessments. Reviewing 200 projects affected by conflict, the authors found that",27
339,"80% were delayed, 20% canceled entirely, more than half over budget, and roughly only",27
340,,27
341,,27
342,10                                                                                                                                                                                                                    11,27
343,PART 1: DEFINING THE CHALLENGE,27
344,,27
345,,27
346,"20% unaffected by social and environmental factors (with many projects impacted by                                   Working Toward a Solution: Trends in Sustainable,",27
347,"multiple factors, e.g. over budget and delayed or canceled).22 Perceived low costs often                             Climate-Resilient Infrastructure",27
348,turn out to be higher over the life of a project if social and environmental risks aren’t as,27
349,"comprehensively considered at the earliest stages of development. Recognizing the need for a shift to address these trends, especially given the continued",22
350,"rise in global carbon emissions, some of the world’s most powerful institutions—",27
351,"Large-scale hydropower developers have been especially egregious in overselling                                      from governments to multilateral development banks, funders like the GEF and",27
352,"benefits and underestimating risks, with cost overruns and construction delays so                                    GCF, and influential private sector developers—have begun to propose solutions",27
353,substantial they have been found to fundamentally challenge the projects’ ultimate                                   through the larger umbrella of “sustainable infrastructure.” The phrase has risen,27
354,"economic value around the world, without considering the continued impacts of a                                      to global prominence in recent years across global policy fora, becoming an explicit",27
355,"changing climate23,24 Further analyses have found even fewer economic benefits and                                   focus of powerful funder country working groups like the G7 and G20 and in recent",27
356,"greater risks of large-scale hydropower investments when considering climate change.23                               UN conventions on biodiversity and climate change, and as demonstrated by the",27
357,Without significant updates to standard approaches to regional spatial development                                   publication of numerous white and grey papers from investor institutions and in the,27
358,"planning, the current and future infrastructure investment—including the 75% yet                                     scientific literature. to be built—will further compound these trends, leading to even greater declines in",27
359,biodiversity as further habitats are lost and deforestation-driven emissions increase. Global financial institutions like the multilateral development banks and their funder,27
360,"As noted by the authors of the recently released Intergovernmental Science-Policy                                    countries, driven by both ongoing efforts to improve performance against social and",27
361,"Platform on Biodiversity and Ecosystem Services (IPBES) report showing global                                        environmental safeguards and, more recently, support for countries to meet their",27
362,"declines across populations around the world, this risks compromising the essential                                  commitments under the 2015 Paris Agreement and 2030 Agenda for Sustainable",27
363,"Development, have been particularly influential in driving progress toward the next",4
364,,27
365,Shift,27
366,“safety net” provided by natural resources ecosystems and biodiversity. generation of infrastructure investment. Though following country-driven development,27
367,"priorities, they nonetheless provide critical guidance and capacity-building for recipient",27
368,FUNDING           countries and set the conditions for loans and grants that ultimately determine what,27
369,"gets built. These conditions increasingly consider climate change, with substantial",27
370,Some of the world’s,27
371,"initiatives, programs, and real funding allocated toward sustainable, low-carbon,",27
372,most powerful,0
373,climate-resilient infrastructure and the various iterations therein to ensure that current,27
374,institutions,27
375,investments not only reduce emissions (or are low carbon) but also account for the new,27
376,have begun to,27
377,realities and future risks of an increasingly warmer world.25,27
378,propose solutions,27
379,for sustainable,27
380,To crystalize a definition and create cohesion of so many influential institutions in,27
381,infrastructure. the infrastructure development space—including the varying definitions between,27
382,sustainability and climate resilience—the G7 agreed to the “Ise-Shima Principles for,27
383,Promoting Quality Infrastructure Investment” during the Japanese presidency in June,27
384,"2016, focused on effective governance, disaster resilience, job creation and capacity",27
385,"building, addressing of social and environmental impacts, alignment with economic",27
386,"development strategies including national and regional planning for climate change,",27
387,and enhancement of funding through public-private partnership models.26,27
388,,27
389,The Inter-American Development Bank (IDB) used these as a basis to further flesh,27
390,"out a definition of sustainable infrastructure as projects that “are planned, designed,",27
391,"constructed, operated, and decommissioned in a manner to ensure economic and",27
392,"financial, social, environmental (including climate resilience), and institutional",27
393,sustainability over the entire life cycle of the project.” While it leaves some aspects to be,27
394,"further defined, it is notable that “sustainable” is explicitly defined as a function not just",27
395,"of reduced impacts on the environment, but of “environmental sustainability including",27
396,"climate resilience,” and of “preservation of the natural environment, efficient use of",27
397,"resources,” both of which are also explicitly outlined in the G7 principles.27",27
398,,27
399,"The World Bank has similarly begun to shift investments toward financing low-carbon,",27
400,climate-resilient infrastructure. Alongside explicit internal policies requiring screening,27
401,"for climate risk (both in terms of risks to physical assets and carbon emissions), it has",27
402,,27
403,,27
404,,27
405,12                                                                                                                                                                                                                                               13,27
406,PART 1: DEFINING THE CHALLENGE,27
407,,27
408,,27
409,"also released a number of reports providing guidance to countries and investors for                                    for global agreements like the CBD, Paris, and Sustainable Development Goals.33 They",27
410,how countries and investors can meet their NDCs and the sustainable development                                        are increasingly seen as either essential complements to grey engineered approaches or,27
411,"goals.28,29 A recent report co-authored with the Organization for Economic Cooperation                                 cheaper, sometimes more robust alternatives.31 They are also recognized as important",27
412,"and Development (OECD), “Financing Climate Futures: Rethinking Infrastructure,”                                        to reduce vulnerability for the world’s most vulnerable populations, especially in",27
413,outlines the conditions necessary to shift global infrastructure development toward                                    marginalized rural communities with few options for costly engineered adaptation.34,27
414,decarbonization and resilience. It highlights six key areas to align finance with low-,27
415,"These solutions are, however, still largely considered too late in planning—either as",27
416,"carbon, resilient infrastructure, including improved planning, technical innovation,",27
417,"isolated, smaller-scale projects, or as marginal components of infrastructure design—to",27
418,"fiscal sustainability, resetting the financial system toward long-term risks, rethinking",27
419,"most effectively balance trade-offs in managing social, ecological, and infrastructure",27
420,"development funding to create enabling environments for climate investments, and",27
421,systems resilience. One indicator of just how rarely or insufficiently these larger-scale,27
422,"empowering city governments to build low-carbon, resilient urban environments.29",27
423,intact systems and the critical benefits they provide in supporting both resilience and,4
424,Another recently launched report clearly demonstrates the substantial benefits of,27
425,mitigation are planned for in development is found in country commitments under the,27
426,"investing in resilient infrastructure, highlighting the regular and substantial costs",27
427,Paris Agreement NDCs. A recent WWF analysis showed that less than half (37%) of,27
428,"of disruption to transport, energy, and water infrastructure systems, especially in",27
429,the parties to the agreement even mention Protected Areas (or other conserved areas),27
430,developing economies. It also demonstrates that there is still enormous progress to be,27
431,"in their NDCs, and only eight of all 151 NDCs analyzed explicitly stated or implied that",27
432,"made, especially in tackling the exact gaps this report highlights: capacity-building for",27
433,,27
434,Plan,27
435,ecosystem services provided by such areas could reduce vulnerability for people to the,27
436,"resilience, the need to incorporate ecosystem services, and the opportunity presented",27
