,Source,Content
20,IPCC-2007-1.txt,4 [6
21,IPCC-2007-1.txt,0 to 6
22,IPCC-2007-1.txt,8]5 GtC (23
23,IPCC-2007-1.txt,5 [22
24,IPCC-2007-1.txt,0 to 25
25,IPCC-2007-1.txt,0] GtCO2) per year in the 1990s to 7
26,IPCC-2007-1.txt,2 [6
27,IPCC-2007-1.txt,9 to 7
28,IPCC-2007-1.txt,5] GtC (26
29,IPCC-2007-1.txt,4 [25
30,IPCC-2007-1.txt,3 to 27
31,IPCC-2007-1.txt,5] GtCO2) per year in 2000-2005 (2004 and 2005 data are interim estimates)
32,IPCC-2007-1.txt, Carbon dioxide emissions associated with land-use change  CHANGES IN GREENHOUSE GASES FROM ICE CORE AND MODERN DATA  are estimated to be 1
33,IPCC-2007-1.txt,6 [0
34,IPCC-2007-1.txt,5 to 2
35,IPCC-2007-1.txt,7] GtC (5
36,IPCC-2007-1.txt,9 [1
37,IPCC-2007-1.txt,8 to 9
38,IPCC-2007-1.txt,"9] GtCO2) per year over the 1990s, although these estimates have a large uncertainty"
39,IPCC-2007-1.txt,"3} - The global atmospheric concentration of methane has increased from a pre-industrial value of about 715 ppb to 1732 ppb in the early 1990s, and was 1774 ppb in 2005"
40,IPCC-2007-1.txt," The atmospheric concentration of methane in 2005 exceeds by far the natural range of the last 650,000 years (320 to 790 ppb) as determined from ice cores"
41,IPCC-2007-1.txt," Growth rates have declined since the early 1990s, consistent with total emissions (sum of anthropogenic and natural sources) being nearly constant during this period"
42,IPCC-2007-1.txt," It is very likely6 that the observed increase in methane concentration is due to anthropogenic activities, predominantly agriculture and fossil fuel use, but relative contributions from different source types are not well determined"
43,IPCC-2007-1.txt,"3, 7"
44,IPCC-2007-1.txt,4} - The global atmospheric nitrous oxide concentration increased from a pre-industrial value of about 270 ppb to 319 ppb in 2005
45,IPCC-2007-1.txt, The growth rate has been approximately constant since 1980
46,IPCC-2007-1.txt, More than a third of all nitrous oxide emissions are anthropogenic and are primarily due to agriculture
47,IPCC-2007-1.txt,"3, 7"
48,IPCC-2007-1.txt,"4}  The understanding of anthropogenic warming and cooling influences on climate has improved since the TAR, leading to very high confidence7 that the global average net effect of human activities since 1750 has been one of warming, with a radiative forcing of +1"
49,IPCC-2007-1.txt,6 [+0
50,IPCC-2007-1.txt,6 to +2
51,IPCC-2007-1.txt,4] W m-2 (see Figure SPM
52,IPCC-2007-1.txt,", 6"
53,IPCC-2007-1.txt,"5, 2"
54,IPCC-2007-1.txt,"9}  - The combined radiative forcing due to increases in carbon dioxide, methane, and nitrous oxide is +2"
55,IPCC-2007-1.txt,30 [+2
56,IPCC-2007-1.txt,07 to +2
57,IPCC-2007-1.txt,"53] W m-2, and its rate of increase during the industrial era is very likely to have been unprecedented in more than 10,000 years (see Figures  Figure SPM"
58,IPCC-2007-1.txt," Atmospheric concentrations of carbon dioxide, methane and nitrous oxide over the last 10,000 years (large panels) and since 1750 (inset panels)"
59,IPCC-2007-1.txt, Measurements are shown from ice cores (symbols with different colours for different studies) and atmospheric samples (red lines)
60,IPCC-2007-1.txt, The corresponding radiative forcings are shown on the right hand axes of the large panels
61,IPCC-2007-1.txt, {Figure 6
62,IPCC-2007-1.txt,"4} - Anthropogenic contributions to aerosols (primarily sulphate, organic carbon, black carbon, nitrate and dust) together produce a cooling effect, with a total direct radiative forcing of -0"
63,IPCC-2007-1.txt,5 [-0
64,IPCC-2007-1.txt,9 to -0
65,IPCC-2007-1.txt,1] W m-2 and an indirect cloud albedo forcing of -0
66,IPCC-2007-1.txt,7 [-1
67,IPCC-2007-1.txt,8 to -0
68,IPCC-2007-1.txt,3] W m-2
69,IPCC-2007-1.txt," These forcings are now better understood than at the time of the TAR due to improved in situ, satellite and ground-based measurements and more  comprehensive modelling, but remain the dominant uncertainty in radiative forcing"
70,IPCC-2007-1.txt, Aerosols also influence cloud lifetime and precipitation
71,IPCC-2007-1.txt,"4, 2"
72,IPCC-2007-1.txt,"9, 7"
73,IPCC-2007-1.txt,5} - Significant anthropogenic contributions to radiative forcing come from several other sources
74,IPCC-2007-1.txt," Tropospheric ozone changes due to emissions of ozone-forming chemicals (nitrogen oxides, carbon monoxide, and hydrocarbons) contribute +0"
75,IPCC-2007-1.txt,35 [+0
76,IPCC-2007-1.txt,25 to +0
77,IPCC-2007-1.txt,65] W m-2
78,IPCC-2007-1.txt, The direct radiative forcing due to changes in halocarbons8 is +0
79,IPCC-2007-1.txt,34 [+0
80,IPCC-2007-1.txt,31 to +0
81,IPCC-2007-1.txt,37] W m-2
82,IPCC-2007-1.txt," Changes in surface albedo, due to land cover changes and deposition of black carbon aerosols on snow, exert respective forcings of -0"
83,IPCC-2007-1.txt,2 [-0
84,IPCC-2007-1.txt,4 to 0
85,IPCC-2007-1.txt,0] and +0
86,IPCC-2007-1.txt,1 [0
87,IPCC-2007-1.txt,0 to +0
88,IPCC-2007-1.txt,2] W m-2
89,IPCC-2007-1.txt, Additional terms smaller than -0
90,IPCC-2007-1.txt,1 W m-2 are shown in Figure SPM
91,IPCC-2007-1.txt,"3, 2"
92,IPCC-2007-1.txt,"5, 7"
93,IPCC-2007-1.txt,2} - Changes in solar irradiance since 1750 are estimated to cause a radiative forcing of +0
94,IPCC-2007-1.txt,12 [+0
95,IPCC-2007-1.txt,06 to +0
96,IPCC-2007-1.txt,"30] W m-2, which is less than half the estimate given in the TAR"
97,IPCC-2007-1.txt,"7} Direct Observations of Recent Climate Change Since the TAR, progress in understanding how climate is changing in space and in time has been gained through improvements and extensions of numerous datasets and data analyses, broader geographical coverage, better understanding of uncertainties, and a wider variety of measurements"
98,IPCC-2007-1.txt," Increasingly comprehensive observations are available for glaciers and snow cover since the 1960s, and for sea level and ice sheets since about the past decade"
99,IPCC-2007-1.txt," However, data coverage remains limited in some regions"
100,IPCC-2007-1.txt," Warming of the climate system is unequivocal, as is now evident from observations of increases in global average air and ocean temperatures, widespread melting of snow and ice, and rising global average sea level (see Figure SPM"
101,IPCC-2007-1.txt,"2, 4"
102,IPCC-2007-1.txt,"2, 5"
103,IPCC-2007-1.txt,5} - Eleven of the last twelve years (1995-2006) rank among the 12 warmest years in the instrumental record of global surface temperature9 (since 1850)
104,IPCC-2007-1.txt, The updated 100-year linear trend (1906 to 2005) of 0
105,IPCC-2007-1.txt,74-C [0
106,IPCC-2007-1.txt,56-C to 0
107,IPCC-2007-1.txt,92-C] is therefore larger than the corresponding trend for 1901 to 2000 given in the TAR of 0
108,IPCC-2007-1.txt,6-C [0
109,IPCC-2007-1.txt,4-C to 0
110,IPCC-2007-1.txt, The linear warming trend over the last 50 years (0
111,IPCC-2007-1.txt,13-C [0
112,IPCC-2007-1.txt,10-C to 0
113,IPCC-2007-1.txt,16-C] per decade) is nearly twice that for the last 100 years
114,IPCC-2007-1.txt, The total temperature increase from 1850-1899 to 2001-2005 is 0
115,IPCC-2007-1.txt,76-C [0
116,IPCC-2007-1.txt,57-C to 0
117,IPCC-2007-1.txt," Urban heat island effects are real but local, and have a negligible influence (less than 0"
118,IPCC-2007-1.txt,006-C per decade over land and zero over the oceans) on these values
119,IPCC-2007-1.txt,"2}  - New analyses of balloon-borne and satellite measurements of lower- and mid-tropospheric temperature show warming rates that are similar to those of the surface temperature record and are consistent within their respective uncertainties, largely reconciling a discrepancy noted in the TAR"
120,IPCC-2007-1.txt,"2, 3"
121,IPCC-2007-1.txt,4} - The average atmospheric water vapour content has increased since at least the 1980s over land and ocean as well as in the upper troposphere
122,IPCC-2007-1.txt, The increase is broadly consistent with the extra water vapour that warmer air can hold
123,IPCC-2007-1.txt,4} - Observations since 1961 show that the average temperature of the global ocean has increased to depths of at least 3000 m and that the ocean has been absorbing more than 80% of the heat added to the climate system
124,IPCC-2007-1.txt," Such warming causes seawater to expand, contributing to sea level rise (see Table SPM"
125,IPCC-2007-1.txt,"2, 5"
126,IPCC-2007-1.txt,5} - Mountain glaciers and snow cover have declined on average in both hemispheres
127,IPCC-2007-1.txt, Widespread decreases in glaciers and ice caps have contributed to sea level rise (ice caps do not include contributions from the Greenland and Antarctic Ice Sheets)
128,IPCC-2007-1.txt, (See Table SPM
129,IPCC-2007-1.txt,) {4
130,IPCC-2007-1.txt,"6, 4"
131,IPCC-2007-1.txt,"7, 4"
132,IPCC-2007-1.txt,"8, 5"
133,IPCC-2007-1.txt,5} - New data since the TAR now show that losses from the ice sheets of Greenland and Antarctica have very likely contributed to sea level rise over 1993 to 2003 (see Table SPM
134,IPCC-2007-1.txt," Flow speed has increased for some Greenland and Antarctic outlet glaciers, which drain ice from the interior of the ice sheets"
135,IPCC-2007-1.txt," The corresponding increased ice sheet mass loss has often followed thinning, reduction or loss of ice shelves or loss of floating glacier tongues"
136,IPCC-2007-1.txt, Such dynamical ice loss is sufficient to explain most of the Antarctic net mass loss and approximately half of the Greenland net mass loss
137,IPCC-2007-1.txt, The remainder of the ice loss from Greenland has occurred because losses due to melting have exceeded accumulation due to snowfall
138,IPCC-2007-1.txt,"6, 4"
139,IPCC-2007-1.txt,"8, 5"
140,IPCC-2007-1.txt,5} - Global average sea level rose at an average rate of 1
141,IPCC-2007-1.txt,8 [1
142,IPCC-2007-1.txt,3 to 2
143,IPCC-2007-1.txt,3] mm per year over 1961 to 2003
144,IPCC-2007-1.txt, The rate was faster over 1993 to 2003: about 3
145,IPCC-2007-1.txt,1 [2
146,IPCC-2007-1.txt,4 to 3
147,IPCC-2007-1.txt,8] mm per year
148,IPCC-2007-1.txt, Whether the faster rate for 1993 to 2003 reflects decadal variability or an increase in the longer-term trend is unclear
149,IPCC-2007-1.txt, There is high confidence that the rate of observed sea level rise increased from the 19th to the 20th century
150,IPCC-2007-1.txt, The total 20th-century rise is estimated to be 0
151,IPCC-2007-1.txt,17 [0
152,IPCC-2007-1.txt,12 to 0
153,IPCC-2007-1.txt,22] m
154,IPCC-2007-1.txt,"5} - For 1993 to 2003, the sum of the climate contributions is consistent within uncertainties with the total sea level rise that is directly observed (see Table SPM"
155,IPCC-2007-1.txt, These estimates are based on improved satellite and in situ data now available
156,IPCC-2007-1.txt," For the period 1961 to 2003, the sum of climate contributions is estimated to be smaller than the observed sea level rise"
157,IPCC-2007-1.txt, The TAR reported a similar discrepancy for 1910 to 1990
158,IPCC-2007-1.txt,"5} At continental, regional and ocean basin scales, numerous long-term changes in climate have been observed"
159,IPCC-2007-1.txt," These include changes in arctic temperatures and ice, widespread changes in precipitation amounts, ocean salinity, wind patterns and aspects of extreme weather including droughts, heavy precipitation, heat waves and the intensity of tropical cyclones"
160,IPCC-2007-1.txt,10 {3
161,IPCC-2007-1.txt,"2, 3"
162,IPCC-2007-1.txt,"3, 3"
163,IPCC-2007-1.txt,"4, 3"
164,IPCC-2007-1.txt,"5, 3"
165,IPCC-2007-1.txt,"6, 5"
166,IPCC-2007-1.txt,2} - Average arctic temperatures increased at almost twice the global average rate in the past 100 years
167,IPCC-2007-1.txt," Arctic temperatures have high decadal variability, and a warm period was also observed from 1925 to 1945"
168,IPCC-2007-1.txt,2}  - Satellite data since 1978 show that annual average arctic sea ice extent has shrunk by 2
169,IPCC-2007-1.txt,7 [2
170,IPCC-2007-1.txt,1 to 3
171,IPCC-2007-1.txt,"3]% per decade, with larger decreases in summer of 7"
172,IPCC-2007-1.txt,4 [5
173,IPCC-2007-1.txt,0 to 9
174,IPCC-2007-1.txt,8]% per decade
175,IPCC-2007-1.txt, These values are consistent with those reported in the TAR
176,IPCC-2007-1.txt,4} - Temperatures at the top of the permafrost layer have generally increased since the 1980s in the Arctic (by up to 3-C)
177,IPCC-2007-1.txt," The maximum area covered by seasonally frozen ground has decreased by about 7% in the Northern Hemisphere since 1900, with a decrease in spring of up to 15%"
178,IPCC-2007-1.txt,7} - Long-term trends from 1900 to 2005 have been observed in precipitation amount over many large regions
179,IPCC-2007-1.txt,"11 Significantly increased precipitation has been observed in eastern parts of North and South America, northern Europe and northern and central Asia"
180,IPCC-2007-1.txt," Drying has been observed in the Sahel, the Mediterranean, southern Africa and parts of southern Asia"
181,IPCC-2007-1.txt," Precipitation is highly variable spatially and temporally, and data are limited in some regions"
182,IPCC-2007-1.txt, Long-term trends have not been observed for the other large regions assessed
183,IPCC-2007-1.txt,11 {3
184,IPCC-2007-1.txt,"3, 3"
185,IPCC-2007-1.txt,9} - Changes in precipitation and evaporation over the oceans are suggested by freshening of mid- and high-latitude waters together with increased salinity in low-latitude waters
186,IPCC-2007-1.txt,2}  - Mid-latitude westerly winds have strengthened in both hemispheres since the 1960s
187,IPCC-2007-1.txt,"5} - More intense and longer droughts have been observed over wider areas since the 1970s, particularly in the tropics and subtropics"
188,IPCC-2007-1.txt, Increased drying linked with higher temperatures and decreased precipitation has contributed to changes in drought
189,IPCC-2007-1.txt," Changes in sea surface temperatures, wind patterns and decreased snowpack and snow cover have also been linked to droughts"
190,IPCC-2007-1.txt,"3}  - The frequency of heavy precipitation events has increased over most land areas, consistent with warming and observed increases of atmospheric water vapour"
191,IPCC-2007-1.txt,"8, 3"
192,IPCC-2007-1.txt,9} - Widespread changes in extreme temperatures have been observed over the last 50 years
193,IPCC-2007-1.txt," Cold days, cold nights and frost have become less frequent, while hot days, hot nights and heat waves have become more frequent (see Table SPM"
194,IPCC-2007-1.txt,8}   Table notes: a See Table 3
195,IPCC-2007-1.txt,7 for further details regarding definitions
196,IPCC-2007-1.txt, b See Table TS
197,IPCC-2007-1.txt,"4, Box TS"
198,IPCC-2007-1.txt,5 and Table 9
199,IPCC-2007-1.txt, c Decreased frequency of cold days and nights (coldest 10%)
200,IPCC-2007-1.txt, d Warming of the most extreme days and nights each year
201,IPCC-2007-1.txt, e Increased frequency of hot days and nights (hottest 10%)
202,IPCC-2007-1.txt, f Magnitude of anthropogenic contributions not assessed
203,IPCC-2007-1.txt, Attribution for these phenomena based on expert judgement rather than formal attribution studies
204,IPCC-2007-1.txt, g Extreme high sea level depends on average sea level and on regional weather systems
205,IPCC-2007-1.txt, It is defined here as the highest 1% of hourly values of ob- served sea level at a station for a given reference period
206,IPCC-2007-1.txt, h Changes in observed extreme high sea level closely follow the changes in average sea level
207,IPCC-2007-1.txt,5} It is very likely that anthropogenic activity contributed to a rise in average sea level
208,IPCC-2007-1.txt,"5} i In all scenarios, the projected global average sea level at 2100 is higher than in the reference period"
209,IPCC-2007-1.txt,6} The effect of changes in regional weather systems on sea level extremes has not been assessed
210,IPCC-2007-1.txt,"     - There is observational evidence for an increase in intense tropical cyclone activity in the North Atlantic since about 1970, correlated with increases of tropical sea surface temperatures"
211,IPCC-2007-1.txt, There are also suggestions of increased intense tropical cyclone activity in some other regions where concerns over data quality are greater
212,IPCC-2007-1.txt, Multi-decadal variability and the quality of the tropical cyclone records prior to routine satellite observations in about 1970 complicate the detection of long-term trends in tropical cyclone activity
213,IPCC-2007-1.txt, There is no clear trend in the annual numbers of tropical cyclones
214,IPCC-2007-1.txt,8} Some aspects of climate have not been observed to change
215,IPCC-2007-1.txt,"2, 3"
216,IPCC-2007-1.txt,"8, 4"
217,IPCC-2007-1.txt,"4, 5"
218,IPCC-2007-1.txt,"3} - A decrease in diurnal temperature range (DTR) was reported in the TAR, but the data available then extended only from 1950 to 1993"
219,IPCC-2007-1.txt, Updated observations reveal that DTR has not changed from 1979 to 2004 as both day- and night-time temperature have risen at about the same rate
220,IPCC-2007-1.txt, The trends are highly variable from one region to another
221,IPCC-2007-1.txt,"2} - Antarctic sea ice extent continues to show interannual variability and localised changes but no statistically significant average trends, consistent with the lack of warming reflected in atmospheric temperatures averaged across the region"
222,IPCC-2007-1.txt,"2, 4"
223,IPCC-2007-1.txt,"4} - There is insufficient evidence to determine whether trends exist in the meridional overturning circulation (MOC) of the global ocean or in small-scale phenomena such as tornadoes, hail, lightning and dust-storms"
224,IPCC-2007-1.txt,"8, 5"
225,IPCC-2007-1.txt,3}  A Palaeoclimatic Perspective Palaeoclimatic studies use changes in climatically sensitive indicators to infer past changes in global climate on time scales ranging from decades to millions of years
226,IPCC-2007-1.txt, Such proxy data (e
227,IPCC-2007-1.txt,", tree ring width) may be influenced by both local temperature and other factors such as precipitation, and are often representative of particular seasons rather than full years"
228,IPCC-2007-1.txt, Studies since the TAR draw increased confidence from additional data showing coherent behaviour across multiple indicators in different parts of the world
229,IPCC-2007-1.txt," However, uncertainties generally increase with time into the past due to increasingly limited spatial coverage"
230,IPCC-2007-1.txt," Palaeoclimatic information supports the interpretation that the warmth of the last half century is unusual in at least the previous 1,300 years"
231,IPCC-2007-1.txt," The last time the polar regions were significantly warmer than present for an extended period (about 125,000 years ago), reductions in polar ice volume led to 4 to 6 m of sea level rise"
232,IPCC-2007-1.txt,"4, 6"
233,IPCC-2007-1.txt,"6} - Average Northern Hemisphere temperatures during the second half of the 20th century were very likely higher than during any other 50-year period in the last 500 years and likely the highest in at least the past 1,300 years"
234,IPCC-2007-1.txt," Some recent studies indicate greater variability in Northern Hemisphere temperatures than suggested in the TAR, particularly finding that cooler periods existed in the 12th to 14th, 17th and 19th centuries"
235,IPCC-2007-1.txt, Warmer periods prior to the 20th century are within the uncertainty range given in the TAR
236,IPCC-2007-1.txt,"6} - Global average sea level in the last interglacial period (about 125,000 years ago) was likely 4 to 6 m higher than during the 20th century, mainly due to the retreat of polar ice"
237,IPCC-2007-1.txt," Ice core data indicate that average polar temperatures at that time were 3-C to 5-C higher than present, because of differences in the Earth's orbit"
238,IPCC-2007-1.txt, The Greenland Ice Sheet and other arctic ice fields likely contributed no more than 4 m of the observed sea level rise
239,IPCC-2007-1.txt, There may also have been a contribution from Antarctica
240,IPCC-2007-1.txt,"4} Understanding and Attributing Climate Change This assessment considers longer and improved records, an expanded range of observations and improvements in the simulation of many aspects of climate and its variability based on studies since the TAR"
241,IPCC-2007-1.txt, It also considers the results of new attribution studies that have evaluated whether observed changes are quantitatively consistent with the expected response to external forcings and inconsistent with alternative physically plausible explanations
242,IPCC-2007-1.txt, Most of the observed increase in global average temperatures since the mid-20th century is very likely due to the observed increase in anthropogenic greenhouse gas concentrations
243,IPCC-2007-1.txt,"12 This is an advance since the TAR's conclusion that ""most of the observed warming over the last 50 years is likely to have been due to the increase in greenhouse gas concentrations"""
244,IPCC-2007-1.txt," Discernible human influences now extend to other aspects of climate, including ocean warming, continental-average temperatures, temperature extremes and wind patterns (see Figure SPM"
245,IPCC-2007-1.txt,4 and Table SPM
246,IPCC-2007-1.txt,"4, 9"
247,IPCC-2007-1.txt,5} - It is likely that increases in greenhouse gas concentrations alone would have caused more warming than observed because volcanic and anthropogenic aerosols have offset some warming that would otherwise have taken place
248,IPCC-2007-1.txt,"9, 7"
249,IPCC-2007-1.txt,"5, 9"
250,IPCC-2007-1.txt,"4} - The observed widespread warming of the atmosphere and ocean, together with ice mass loss, support the conclusion that it is extremely unlikely that global climate change of the past 50 years can be explained without external forcing, and very likely that it is not due to known natural causes alone"
251,IPCC-2007-1.txt,"8, 5"
252,IPCC-2007-1.txt,"2, 9"
253,IPCC-2007-1.txt,"4, 9"
254,IPCC-2007-1.txt,"5, 9"
255,IPCC-2007-1.txt,"7}  - Warming of the climate system has been detected in changes of surface and atmospheric temperatures in the upper several hundred metres of the ocean, and in contributions to sea level rise"
256,IPCC-2007-1.txt, Attribution studies have established anthropogenic contributions to all of these changes
257,IPCC-2007-1.txt, The observed pattern of tropospheric warming and stratospheric cooling is very likely due to the combined influences of greenhouse gas increases and stratospheric ozone depletion
258,IPCC-2007-1.txt,"2, 3"
259,IPCC-2007-1.txt,"4, 9"
260,IPCC-2007-1.txt,"4, 9"
261,IPCC-2007-1.txt,5} - It is likely that there has been significant anthropogenic warming over the past 50 years averaged over each continent except Antarctica (see Figure SPM
262,IPCC-2007-1.txt," The observed patterns of warming, including greater warming over land than over the ocean, and their changes over time, are only simulated by models that include anthropogenic forcing"
263,IPCC-2007-1.txt, The ability of coupled climate models to simulate the observed temperature evolution on each of six continents provides stronger evidence of human influence on climate than was available in the TAR
264,IPCC-2007-1.txt,"2, 9"
265,IPCC-2007-1.txt,4} - Difficulties remain in reliably simulating and attributing observed temperature changes at smaller scales
266,IPCC-2007-1.txt," On these scales, natural climate variability is relatively larger, making it harder to distinguish changes expected due to external forcings"
267,IPCC-2007-1.txt, Uncertainties in local forcings and feedbacks also make it difficult to estimate the contribution of greenhouse gas increases to observed small-scale temperature changes
268,IPCC-2007-1.txt,"3, 9"
269,IPCC-2007-1.txt,"4} - Anthropogenic forcing is likely to have contributed to changes in wind patterns,13 affecting extratropical storm tracks and temperature patterns in both hemispheres"
270,IPCC-2007-1.txt," However, the observed changes in the Northern Hemisphere circulation are larger than simulated in response to 20th-century forcing change"
271,IPCC-2007-1.txt,"5, 3"
272,IPCC-2007-1.txt,"6, 9"
273,IPCC-2007-1.txt,"5, 10"
274,IPCC-2007-1.txt,"3} - Temperatures of the most extreme hot nights, cold nights and cold days are likely to have increased due to anthropogenic forcing"
275,IPCC-2007-1.txt, It is more likely than not that anthropogenic forcing has increased the risk of heat waves (see Table SPM
276,IPCC-2007-1.txt,4}  GLOBAL AND CONTINENTAL TEMPERATURE CHANGE   Figure SPM
277,IPCC-2007-1.txt, Comparison of observed continental- and global-scale changes in surface temperature with results simulated by climate models using natural and anthropogenic forcings
278,IPCC-2007-1.txt, Decadal averages of observations are shown for the period 1906 to 2005 (black line) plotted against the centre of the decade and relative to the corresponding average for 1901-1950
279,IPCC-2007-1.txt, Lines are dashed where spatial coverage is less than 50%
280,IPCC-2007-1.txt, Blue shaded bands show the 5-95% range for 19 simulations from five climate models using only the natural forcings due to solar activity and volcanoes
281,IPCC-2007-1.txt, Red shaded bands show the 5-95% range for 58 simulations from 14 climate models using both natural and anthropogenic forcings
282,IPCC-2007-1.txt, {FAQ 9
283,IPCC-2007-1.txt,"2, Figure 1}    Analysis of climate models together with constraints from observations enables an assessed likely range to be given for climate sensitivity for the first time and provides increased confidence in the understanding of the climate system response to radiative forcing"
284,IPCC-2007-1.txt,"6, 8"
285,IPCC-2007-1.txt,"6, 9"
286,IPCC-2007-1.txt,"6, Box 10"
287,IPCC-2007-1.txt,2} - The equilibrium climate sensitivity is a measure of the climate system response to sustained radiative forcing
288,IPCC-2007-1.txt, It is not a projection but is defined as the global average surface warming following a doubling of carbon dioxide concentrations
289,IPCC-2007-1.txt, It is likely to be in the range 2-C to 4
290,IPCC-2007-1.txt,"5-C with a best estimate of about 3-C, and is very unlikely to be less than 1"
291,IPCC-2007-1.txt, Values substantially higher than 4
292,IPCC-2007-1.txt,"5-C cannot be excluded, but agreement of models with observations is not as good for those values"
293,IPCC-2007-1.txt, Water vapour changes represent the largest feedback affecting climate sensitivity and are now better understood than in the TAR
294,IPCC-2007-1.txt, Cloud feedbacks remain the largest source of uncertainty
295,IPCC-2007-1.txt,"6, 9"
296,IPCC-2007-1.txt,"6, Box 10"
297,IPCC-2007-1.txt,2} - It is very unlikely that climate changes of at least the seven centuries prior to 1950 were due to variability generated within the climate system alone
298,IPCC-2007-1.txt," A significant fraction of the reconstructed Northern Hemisphere inter-decadal temperature variability over those centuries is very likely attributable to volcanic eruptions and changes in solar irradiance, and it is likely that anthropogenic forcing contributed to the early 20th century warming evident in these records"
299,IPCC-2007-1.txt,"7, 2"
300,IPCC-2007-1.txt,"8, 6"
301,IPCC-2007-1.txt,"6, 9"
302,IPCC-2007-1.txt,3}  Projections of Future Changes in Climate A major advance of this assessment of climate change projections compared with the TAR is the large number of simulations available from a broader range of models
303,IPCC-2007-1.txt," Taken together with additional information from observations, these provide a quantitative basis for estimating likelihoods for many aspects of future climate change"
304,IPCC-2007-1.txt, Model simulations cover a range of possible futures including idealised emission or concentration assumptions
305,IPCC-2007-1.txt, These include SRES14 illustrative marker scenarios for the 2000 to 2100 period and model experiments with greenhouse gases and aerosol concentrations held constant after year 2000 or 2100
306,IPCC-2007-1.txt," For the next two decades, a warming of about 0"
307,IPCC-2007-1.txt,2-C per decade is projected for a range of SRES emission scenarios
308,IPCC-2007-1.txt," Even if the concentrations of all greenhouse gases and aerosols had been kept constant at year 2000 levels, a further warming of about 0"
309,IPCC-2007-1.txt,1-C per decade would be expected
310,IPCC-2007-1.txt,"3, 10"
311,IPCC-2007-1.txt,"7} - Since IPCC's first report in 1990, assessed projections have suggested global average temperature increases between about 0"
312,IPCC-2007-1.txt,15-C and 0
313,IPCC-2007-1.txt,3-C per decade for 1990 to 2005
314,IPCC-2007-1.txt, This can now be compared with observed values of about 0
315,IPCC-2007-1.txt,"2-C per decade, strengthening confidence in near-term projections"
316,IPCC-2007-1.txt,"2, 3"
317,IPCC-2007-1.txt,"2}  - Model experiments show that even if all radiative forcing agents were held constant at year 2000 levels, a further warming trend would occur in the next two decades at a rate of about 0"
318,IPCC-2007-1.txt,"1-C per decade, due mainly to the slow response of the oceans"
319,IPCC-2007-1.txt, About twice as much warming (0
320,IPCC-2007-1.txt,2-C per decade) would be expected if emissions are within the range of the SRES scenarios
321,IPCC-2007-1.txt, Best-estimate projections from models indicate that decadal average warming over each inhabited continent by 2030 is insensitive to the choice among SRES scenarios and is very likely to be at least twice as large as the corresponding model-estimated natural variability during the 20th century
322,IPCC-2007-1.txt,"4, 10"
323,IPCC-2007-1.txt,"3, 10"
324,IPCC-2007-1.txt,"5, 11"
